x,Triangle,Trapezoidal,Gaussian
0.000000,0.000000,0.000000,0.000335
0.002000,0.002000,0.003000,0.000346
0.004000,0.004000,0.006000,0.000358
0.006000,0.006000,0.009000,0.000369
0.008000,0.008000,0.012000,0.000381
0.010000,0.010000,0.015000,0.000393
0.012000,0.012000,0.018000,0.000406
0.014000,0.014000,0.021000,0.000419
0.016000,0.016000,0.024000,0.000432
0.018000,0.018000,0.027000,0.000446
0.020000,0.020000,0.030000,0.000460
0.022000,0.022000,0.033000,0.000475
0.024000,0.024000,0.036000,0.000490
0.026000,0.026000,0.039000,0.000506
0.028000,0.028000,0.042000,0.000522
0.030000,0.030000,0.045000,0.000538
0.032000,0.032000,0.048000,0.000555
0.034000,0.034000,0.051000,0.000573
0.036000,0.036000,0.054000,0.000591
0.038000,0.038000,0.057000,0.000609
0.040000,0.040000,0.060000,0.000628
0.042000,0.042000,0.063000,0.000648
0.044000,0.044000,0.066000,0.000668
0.046000,0.046000,0.069000,0.000689
0.048000,0.048000,0.072000,0.000710
0.050000,0.050000,0.075000,0.000732
0.052000,0.052000,0.078000,0.000754
0.054000,0.054000,0.081000,0.000778
0.056000,0.056000,0.084000,0.000801
0.058000,0.058000,0.087000,0.000826
0.060000,0.060000,0.090000,0.000851
0.062000,0.062000,0.093000,0.000877
0.064000,0.064000,0.096000,0.000904
0.066000,0.066000,0.099000,0.000931
0.068000,0.068000,0.102000,0.000960
0.070000,0.070000,0.105000,0.000989
0.072000,0.072000,0.108000,0.001018
0.074000,0.074000,0.111000,0.001049
0.076000,0.076000,0.114000,0.001081
0.078000,0.078000,0.117000,0.001113
0.080000,0.080000,0.120000,0.001146
0.082000,0.082000,0.123000,0.001181
0.084000,0.084000,0.126000,0.001216
0.086000,0.086000,0.129000,0.001252
0.088000,0.088000,0.132000,0.001289
0.090000,0.090000,0.135000,0.001327
0.092000,0.092000,0.138000,0.001366
0.094000,0.094000,0.141000,0.001406
0.096000,0.096000,0.144000,0.001448
0.098000,0.098000,0.147000,0.001490
0.100000,0.100000,0.150000,0.001534
0.102000,0.102000,0.153000,0.001579
0.104000,0.104000,0.156000,0.001625
0.106000,0.106000,0.159000,0.001672
0.108000,0.108000,0.162000,0.001720
0.110000,0.110000,0.165000,0.001770
0.112000,0.112000,0.168000,0.001821
0.114000,0.114000,0.171000,0.001873
0.116000,0.116000,0.174000,0.001927
0.118000,0.118000,0.177000,0.001983
0.120000,0.120000,0.180000,0.002039
0.122000,0.122000,0.183000,0.002097
0.124000,0.124000,0.186000,0.002157
0.126000,0.126000,0.189000,0.002218
0.128000,0.128000,0.192000,0.002281
0.130000,0.130000,0.195000,0.002346
0.132000,0.132000,0.198000,0.002412
0.134000,0.134000,0.201000,0.002480
0.136000,0.136000,0.204000,0.002549
0.138000,0.138000,0.207000,0.002621
0.140000,0.140000,0.210000,0.002694
0.142000,0.142000,0.213000,0.002769
0.144000,0.144000,0.216000,0.002846
0.146000,0.146000,0.219000,0.002925
0.148000,0.148000,0.222000,0.003006
0.150000,0.150000,0.225000,0.003089
0.152000,0.152000,0.228000,0.003174
0.154000,0.154000,0.231000,0.003261
0.156000,0.156000,0.234000,0.003350
0.158000,0.158000,0.237000,0.003442
0.160000,0.160000,0.240000,0.003536
0.162000,0.162000,0.243000,0.003632
0.164000,0.164000,0.246000,0.003731
0.166000,0.166000,0.249000,0.003832
0.168000,0.168000,0.252000,0.003935
0.170000,0.170000,0.255000,0.004041
0.172000,0.172000,0.258000,0.004150
0.174000,0.174000,0.261000,0.004261
0.176000,0.176000,0.264000,0.004375
0.178000,0.178000,0.267000,0.004492
0.180000,0.180000,0.270000,0.004612
0.182000,0.182000,0.273000,0.004734
0.184000,0.184000,0.276000,0.004859
0.186000,0.186000,0.279000,0.004988
0.188000,0.188000,0.282000,0.005119
0.190000,0.190000,0.285000,0.005254
0.192000,0.192000,0.288000,0.005392
0.194000,0.194000,0.291000,0.005533
0.196000,0.196000,0.294000,0.005677
0.198000,0.198000,0.297000,0.005825
0.200000,0.200000,0.300000,0.005976
0.202000,0.202000,0.303000,0.006131
0.204000,0.204000,0.306000,0.006289
0.206000,0.206000,0.309000,0.006451
0.208000,0.208000,0.312000,0.006617
0.210000,0.210000,0.315000,0.006787
0.212000,0.212000,0.318000,0.006960
0.214000,0.214000,0.321000,0.007138
0.216000,0.216000,0.324000,0.007319
0.218000,0.218000,0.327000,0.007505
0.220000,0.220000,0.330000,0.007695
0.222000,0.222000,0.333000,0.007889
0.224000,0.224000,0.336000,0.008088
0.226000,0.226000,0.339000,0.008291
0.228000,0.228000,0.342000,0.008498
0.230000,0.230000,0.345000,0.008711
0.232000,0.232000,0.348000,0.008928
0.234000,0.234000,0.351000,0.009150
0.236000,0.236000,0.354000,0.009376
0.238000,0.238000,0.357000,0.009608
0.240000,0.240000,0.360000,0.009845
0.242000,0.242000,0.363000,0.010087
0.244000,0.244000,0.366000,0.010334
0.246000,0.246000,0.369000,0.010587
0.248000,0.248000,0.372000,0.010845
0.250000,0.250000,0.375000,0.011109
0.252000,0.252000,0.378000,0.011378
0.254000,0.254000,0.381000,0.011654
0.256000,0.256000,0.384000,0.011935
0.258000,0.258000,0.387000,0.012222
0.260000,0.260000,0.390000,0.012515
0.262000,0.262000,0.393000,0.012815
0.264000,0.264000,0.396000,0.013121
0.266000,0.266000,0.399000,0.013433
0.268000,0.268000,0.402000,0.013752
0.270000,0.270000,0.405000,0.014077
0.272000,0.272000,0.408000,0.014409
0.274000,0.274000,0.411000,0.014749
0.276000,0.276000,0.414000,0.015095
0.278000,0.278000,0.417000,0.015448
0.280000,0.280000,0.420000,0.015809
0.282000,0.282000,0.423000,0.016177
0.284000,0.284000,0.426000,0.016552
0.286000,0.286000,0.429000,0.016935
0.288000,0.288000,0.432000,0.017326
0.290000,0.290000,0.435000,0.017725
0.292000,0.292000,0.438000,0.018131
0.294000,0.294000,0.441000,0.018546
0.296000,0.296000,0.444000,0.018969
0.298000,0.298000,0.447000,0.019401
0.300000,0.300000,0.450000,0.019841
0.302000,0.302000,0.453000,0.020290
0.304000,0.304000,0.456000,0.020748
0.306000,0.306000,0.459000,0.021214
0.308000,0.308000,0.462000,0.021690
0.310000,0.310000,0.465000,0.022175
